Link,Publishing Info
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-myndigheten-for-press-radio-och-tv-avseende-sveriges-radio-abs-och-sveriges-television-abs-uppgift-att-spegla-forhallanden-i-hela-landet/,"Publicerad21 december 2017·RegeringsuppdragfrånKulturdepartementet,Regeringen"
https://www.regeringen.se/regeringsuppdrag/2017/12/utreda-mojligheter-att-oka-transparensen-i-elsystemet/,"Publicerad21 december 2017·RegeringsuppdragfrånKlimat- och näringslivsdepartementet,Statsrådsberedningen"
https://www.regeringen.se/rattsliga-dokument/lagradsremiss/2017/12/nagra-civilrattsliga-anpassningar-till-eus-dataskyddsforordning/,"Publicerad21 december 2017·Lagrådsremiss,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-kungl.-biblioteket-om-digitalt-kompetenslyft,"Publicerad21 december 2017·RegeringsuppdragfrånKulturdepartementet,Regeringen"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-angaende-administration-fordelning-av-medel-och-uppfoljning-av-satsning-pa-bidrag-till-avgiftsfri-simskola-for-elever-i-forskoleklass/,"Publicerad21 december 2017·RegeringsuppdragfrånRegeringen,Socialdepartementet"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-angaende-administration-fordelning-av-medel-och-uppfoljning-av-satsning-pa-bidrag-till-lovaktiviteter/,"Publicerad21 december 2017·RegeringsuppdragfrånRegeringen,Socialdepartementet"
https://www.regeringen.se/remisser/2017/12/remiss-av-sou-2017102-skatt-pa-kadmium-i-vissa-produkter-och-kemiska-vaxtskyddsmedel/,Publicerad21 december 2017·RemissfrånFinansdepartementet
https://www.regeringen.se/rattsliga-dokument/lagradsremiss/2017/12/ny-dataskyddslag/,"Publicerad21 december 2017·Lagrådsremiss,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017131,"Publicerad21 december 2017·Kommittédirektiv,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017133,"Publicerad21 december 2017·Kommittédirektiv,Rättsliga dokumentfrånRegeringen,Socialdepartementet"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017121,"Publicerad21 december 2017·Kommittédirektiv,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017134,"Publicerad21 december 2017·Kommittédirektiv,Rättsliga dokumentfrånFinansdepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017127-inrattande-av-etikprovningsmyndigheten,"Publicerad21 december 2017·Kommittédirektiv,Rättsliga dokumentfrånRegeringen,Utbildningsdepartementet"
https://www.regeringen.se/arendeforteckningar/2017/12/regeringens-arendeforteckningar-vecka-51-2017/,"Publicerad20 december 2017·ÄrendeförteckningfrånArbetsmarknadsdepartementet,Finansdepartementet,Försvarsdepartementet,Justitiedepartementet,Klimat- och näringslivsdepartementet,Kulturdepartementet,Socialdepartementet,Statsrådsberedningen,Utbildningsdepartementet,Utrikesdepartementet"
https://www.regeringen.se/rapporter/2017/12/barnets-och-ungdomens-reform--forslag-for-en-hallbar-framtid/,Publicerad20 december 2017·RapportfrånSocialdepartementet
https://www.regeringen.se/strategier-for-internationellt-bistand/2017/12/strategi-for-sveriges-utvecklings--samarbete-avseende-arbetet-med-de-manskliga-rattigheterna-demokrati-och-rattsstatens-principer-20182022/,Publicerad20 december 2017·Strategier för internationellt biståndfrånUtrikesdepartementet
https://www.regeringen.se/remisser/2017/10/remiss-sou-201772-genomforande-av-vissa-straffrattsliga-ataganden-for-att-forhindra-och-bekampa-terrorism/,Publicerad05 oktober 2017· Uppdaterad20 december 2017·RemissfrånJustitiedepartementet
https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2017/12/sou-2017106/,"Publicerad20 december 2017·Rättsliga dokument,Statens offentliga utredningarfrånKlimat- och näringslivsdepartementet"
https://www.regeringen.se/rattsliga-dokument/skrivelse/2017/12/20171865/,"Publicerad20 december 2017·Rättsliga dokument,SkrivelsefrånSocialdepartementet"
https://www.regeringen.se/rattsliga-dokument/proposition/2017/12/20171864/,"Publicerad20 december 2017·Proposition,Rättsliga dokumentfrånSocialdepartementet"
https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2017/12/slutrapport-fran-sverigeforhandlingen-infrastruktur-och-bostader--ett-gemensamt-samhallsbygge/,"Publicerad20 december 2017·Rättsliga dokument,Statens offentliga utredningarfrånKlimat- och näringslivsdepartementet"
https://www.regeringen.se/rattsliga-dokument/skrivelse/2017/12/1016453-skr-65-64s-web/,"Publicerad20 december 2017·Rättsliga dokument,Skrivelse"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-att-inom-ramen-for-livsmedelsstrategin-underlatta-for-export-av-livsmedel-och-jordbruksvaror/,"Publicerad20 december 2017·RegeringsuppdragfrånLandsbygds- och infrastrukturdepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/direktiv-2017-128/,"Publicerad20 december 2017·Kommittédirektiv,Rättsliga dokumentfrånSocialdepartementet"
https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2017/12/lan-och-garantier-for-fler-bostader/,"Publicerad20 december 2017·Rättsliga dokument,Statens offentliga utredningarfrånKlimat- och näringslivsdepartementet"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017125-tillaggsdirektiv-till-komvuxutredningen-u-201701,"Publicerad20 december 2017·Kommittédirektiv,Rättsliga dokumentfrånRegeringen,Utbildningsdepartementet"
https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2017/12/sou-201705/,"Publicerad20 december 2017·Rättsliga dokument,Statens offentliga utredningarfrånKlimat- och näringslivsdepartementet"
https://www.regeringen.se/rattsliga-dokument/departementsserien-och-promemorior/2017/12/ds-201766/,"Publicerad20 december 2017·Departementsserien och promemorior,Rättsliga dokumentfrånFörsvarsdepartementet"
https://www.regeringen.se/remisser/2017/12/remiss-vissa-forslag-om-utbetalning-av-assistansersattning/,Publicerad19 december 2017·RemissfrånSocialdepartementet
https://www.regeringen.se/rattsliga-dokument/departementsserien-och-promemorior/2017/12/vissa-forslag-om-utbetalning-av-assistansersattning/,"Publicerad19 december 2017·Departementsserien och promemorior,Rättsliga dokumentfrånSocialdepartementet"
https://www.regeringen.se/remisser/2017/12/remiss-av-promemorian-ett-tryggt-och-mer-hallbart-premiepensionssystem/,Publicerad19 december 2017·RemissfrånFinansdepartementet
https://www.regeringen.se/rattsliga-dokument/departementsserien-och-promemorior/2017/12/ett-tryggt-och-mer-hallbart-premiepensionssystem/,"Publicerad19 december 2017·Departementsserien och promemorior,Rättsliga dokumentfrånFinansdepartementet"
https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2017/12/sou-2017103/,"Publicerad19 december 2017·Rättsliga dokument,Statens offentliga utredningarfrånJustitiedepartementet"
https://www.regeringen.se/rattsliga-dokument/skrivelse/2017/12/skr.-20171866,"Publicerad19 december 2017·Rättsliga dokument,SkrivelsefrånKlimat- och näringslivsdepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/proposition/2017/12/prop.-20171862,"Publicerad19 december 2017·Proposition,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017129,"Publicerad19 december 2017·Kommittédirektiv,Rättsliga dokumentfrånKlimat- och näringslivsdepartementet,Regeringen"
https://www.regeringen.se/overenskommelser-och-avtal/2017/12/bemyndigande-att-teckna-avtal-om-kortare-vantetider-i-cancervard/,Publicerad19 december 2017·Överenskommelse och avtalfrånSocialdepartementet
https://www.regeringen.se/rattsliga-dokument/departementsserien-och-promemorior/2017/12/ds-201764/,"Publicerad19 december 2017·Departementsserien och promemorior,Rättsliga dokumentfrånJustitiedepartementet"
https://www.regeringen.se/overenskommelser-och-avtal/2017/12/pensionsgruppens-overenskommelse-om-langsiktigt-hojda-och-trygga-pensioner/,Publicerad14 december 2017· Uppdaterad18 december 2017·Överenskommelse och avtalfrånSocialdepartementet
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-respektive-erbjudande-till-lansstyrelserna-att-gora-insatser-for-livsmedelsstrategins-genomforande-pa-regional-niva/,"Publicerad18 december 2017·RegeringsuppdragfrånLandsbygds- och infrastrukturdepartementet,Regeringen"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-att-forstarka-arbetet-for-en-god-inomhusmiljo/,"Publicerad18 december 2017·RegeringsuppdragfrånKlimat- och näringslivsdepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/proposition/2017/12/prop.-201718-63,"Publicerad18 december 2017·Proposition,Rättsliga dokumentfrånKlimat- och näringslivsdepartementet,Regeringen"
https://www.regeringen.se/regeringsuppdrag/2017/12/andring-av-uppdrag-att-komplettera-och-implementera-systemet-geokalkyl/,"Publicerad18 december 2017·RegeringsuppdragfrånKlimat- och näringslivsdepartementet,Regeringen"
https://www.regeringen.se/remisser/2017/09/remiss-ds-201738-livstidsstraff-for-mord/,Publicerad27 september 2017· Uppdaterad18 december 2017·RemissfrånJustitiedepartementet
https://www.regeringen.se/overenskommelser-och-avtal/2017/12/nationella-kvalitetsregister/,Publicerad18 december 2017·Överenskommelse och avtalfrånSocialdepartementet
https://www.regeringen.se/regeringsuppdrag/2017/12/ansokan-om-bidrag-svenska-kottforetagen-ab-for-kontroll-av-forekomst-av-vissa-antibiotikaresistenta-bakterier-vid-avelsimport/,"Publicerad18 december 2017·RegeringsuppdragfrånLandsbygds- och infrastrukturdepartementet,Regeringen"
