Link,Publishing Info
https://www.regeringen.se/overenskommelser-och-avtal/2011/06/overenskommelse-om-lakemedelsformanerna-2011/,Publicerad21 juni 2011· Uppdaterad02 april 2015·Överenskommelse och avtalfrånSocialdepartementet
https://www.regeringen.se/rapporter/2011/02/kriterier-som-ska-utmarka-ett-regionalt-cancercentrum-rcc/,Publicerad04 februari 2011· Uppdaterad02 april 2015·RapportfrånSocialdepartementet
https://www.regeringen.se/rapporter/2011/03/s20112036fst/,Publicerad03 mars 2011· Uppdaterad02 april 2015·RapportfrånSocialdepartementet
https://www.regeringen.se/rapporter/2011/03/s20112413fst/,Publicerad08 mars 2011· Uppdaterad02 april 2015·RapportfrånSocialdepartementet
https://www.regeringen.se/rapporter/2011/04/oversyn-av-sjukforsakringen/,Publicerad11 april 2011· Uppdaterad02 april 2015·RapportfrånSocialdepartementet
https://www.regeringen.se/rapporter/2011/05/s20114725sf/,Publicerad05 maj 2011· Uppdaterad02 april 2015·RapportfrånSocialdepartementet
https://www.regeringen.se/rapporter/2011/06/s2012.028,Publicerad20 juni 2011· Uppdaterad02 april 2015·RapportfrånSocialdepartementet
https://www.regeringen.se/rapporter/2011/08/s2011.029,Publicerad26 augusti 2011· Uppdaterad02 april 2015·RapportfrånSocialdepartementet
https://www.regeringen.se/rapporter/2011/02/strategi-for-sveriges-samarbete-med-varldshalsoorganisationen-who-2011-2015/,Publicerad03 februari 2011· Uppdaterad02 april 2015·RapportfrånSocialdepartementet
https://www.regeringen.se/rapporter/2011/12/sveriges-arbetsplan-for-aldrearet-2012-i-eu/,Publicerad06 december 2011· Uppdaterad02 april 2015·RapportfrånSocialdepartementet
https://www.regeringen.se/rapporter/2011/04/s2011.023,Publicerad01 april 2011· Uppdaterad02 april 2015·RapportfrånSocialdepartementet
https://www.regeringen.se/rapporter/2012/03/dnr-s20121653sf/,Publicerad01 mars 2012· Uppdaterad02 april 2015·RapportfrånSocialdepartementet
